drug	target
CHEMBL4297616	ENSG00000061918
CHEMBL4297616	ENSG00000123201
CHEMBL4297616	ENSG00000152402
CHEMBL4297616	ENSG00000164116
CHEMBL1743028	ENSG00000136235
CHEMBL219916	ENSG00000149295
CHEMBL363392	ENSG00000125255
CHEMBL3545311	ENSG00000171094
CHEMBL1200948	ENSG00000103546
CHEMBL644	ENSG00000103546
CHEMBL1200521	ENSG00000179546
CHEMBL1505	ENSG00000179546
CHEMBL3545162	ENSG00000163485
CHEMBL1944698	ENSG00000136807
CHEMBL2107762	ENSG00000053918
CHEMBL2107762	ENSG00000171385
CHEMBL2107762	ENSG00000055118
CHEMBL2107762	ENSG00000177301
CHEMBL2107762	ENSG00000111262
CHEMBL2107762	ENSG00000075043
CHEMBL2107762	ENSG00000184156
CHEMBL2107762	ENSG00000104848
CHEMBL2107762	ENSG00000185760
CHEMBL2107762	ENSG00000117013
CHEMBL2107762	ENSG00000143473
CHEMBL2107762	ENSG00000182255
CHEMBL2107762	ENSG00000130037
CHEMBL2107762	ENSG00000177272
CHEMBL2107762	ENSG00000151079
CHEMBL2107762	ENSG00000129159
CHEMBL2107762	ENSG00000184408
CHEMBL2107762	ENSG00000182674
CHEMBL2107762	ENSG00000116396
CHEMBL2107762	ENSG00000131398
CHEMBL2107762	ENSG00000158445
CHEMBL2107762	ENSG00000143105
CHEMBL2107762	ENSG00000164794
CHEMBL2107762	ENSG00000140015
CHEMBL2107762	ENSG00000171126
CHEMBL2107762	ENSG00000168418
CHEMBL2107762	ENSG00000168263
CHEMBL2107762	ENSG00000124134
CHEMBL2107762	ENSG00000183960
CHEMBL2107762	ENSG00000166006
CHEMBL2107762	ENSG00000170745
CHEMBL2107762	ENSG00000173826
CHEMBL2107762	ENSG00000162975
CHEMBL2107762	ENSG00000184611
CHEMBL2107762	ENSG00000102057
CHEMBL2107762	ENSG00000026559
CHEMBL2107762	ENSG00000178342
CHEMBL2107762	ENSG00000135519
CHEMBL2107762	ENSG00000156486
CHEMBL2107762	ENSG00000089558
